"no";"nocontrat";"garantie";"cout"
"6";6;4075803;"2DO";512.74
"7";7;4075803;"1RC";0
"14";14;4024277;"2DO";89.7
"16";16;4024277;"1RC";1851.11
"33";33;4083980;"2DO";566.84
"67";67;4032035;"4BG";512.48
"74";74;4020011;"2DO";1722.93
"75";75;4020011;"1RC";1204
"96";96;4001738;"4BG";88.58
"113";113;4000648;"2DO";851.62
"122";122;4017796;"1RC";0
"132";132;4051175;"2DO";442.81
"148";148;1012867;"2DO";1064.09
"154";154;4018480;"2DO";82.05
"155";155;4018480;"1RC";1204
"159";159;1012867;"1RC";417.52
"160";160;4086670;"2DO";582.22
"176";176;4050992;"2DO";23.92
"208";208;4017153;"4BG";598.54
"213";213;4031483;"4BG";564.15
"236";236;4012088;"2DO";479.07
"255";255;4079475;"4BG";493.42
"267";267;4051175;"4BG";476.89
"269";269;4043450;"2DO";1214.32
"276";276;4024819;"2DO";-878.92
"323";323;4049118;"2DO";-285.77
"334";334;4025105;"4BG";59.32
"349";349;4000695;"4BG";594.82
"374";374;4016534;"2DO";1904.23
"387";387;4045755;"4BG";338.47
"391";391;4025287;"4BG";795.15
"402";402;4081748;"4BG";53.36
"409";409;4003346;"4BG";717.65
"419";419;1003074;"2DO";90.24
"434";434;4025340;"4BG";706.17
"442";442;1012626;"2DO";1901.27
"472";472;4036985;"2DO";-565.46
"478";478;4073193;"4BG";763.69
"482";482;4071308;"2DO";1202.75
"485";485;4015381;"2DO";523.9
"488";488;4074647;"1RC";1204
"491";491;4018918;"2DO";76.54
"504";504;4051957;"2DO";83.72
"505";505;4053416;"2DO";1014.75
"506";506;4053416;"1RC";1204
"507";507;4016246;"2DO";439.55
"512";512;4006854;"2DO";-764.77
"513";513;4006854;"1RC";0
"517";517;4077938;"4BG";818.76
"525";525;4050314;"2DO";1662.28
"530";530;1011874;"2DO";-237.01
"554";554;4042992;"4BG";0
"578";578;4040034;"1RC";750
"606";606;4017028;"2DO";0
"628";628;4042992;"2DO";2453.65
"629";629;4042992;"1RC";2735.14
"646";646;4033742;"4BG";471
"667";667;4071200;"2DO";-775.56
"708";708;1008456;"1RC";1128.12
"746";746;4008633;"4BG";402.12
"762";762;1545;"2DO";0
"764";764;4032412;"2DO";0
"765";765;4032412;"1RC";1204
"772";772;1545;"1RC";0
"773";773;4078884;"4BG";82.6
"783";783;1011339;"2DO";1196.66
"790";790;4042992;"4BG";87.07
"801";801;4016780;"4BG";82.6
"812";812;4054712;"2DO";0
"813";813;4054712;"1RC";1204
"858";858;4001717;"2DO";-168.66
"924";924;4002605;"2DO";-746.42
"934";934;4079751;"4BG";82.6
"936";936;1000368;"2DO";-105.06
"951";951;4003346;"4BG";82.6
"956";956;4012804;"2DO";593.1
"957";957;4012804;"1RC";602
"963";963;4081321;"3VI";2314.19
"967";967;4031263;"2DO";1901.02
"976";976;4002833;"2DO";0
"989";989;4008875;"2DO";4474.51
"990";990;4008875;"1RC";1204
"994";994;4003919;"2DO";-646.17
"1005";1005;4080391;"2DO";719.65
"1006";1006;4080391;"1RC";1204
"1012";1012;4003149;"4BG";464.25
"1016";1016;4044189;"4BG";642.05
"1049";1049;4038419;"4BG";172.68
"1068";1068;4038839;"2DO";-524.08
"1070";1070;4038839;"1RC";602
"1075";1075;4045868;"1RC";16129.91
"1080";1080;4005264;"4BG";464.83
"1111";1111;4056100;"2DO";2756.51
"1112";1112;4056100;"1RC";6539.97
"1114";1114;4056100;"1RC";1204
"1120";1120;4071523;"2DO";-142.29
"1128";1128;4012950;"2DO";1700.04
"1129";1129;4012950;"1RC";1204
"1170";1170;4027825;"4BG";598.35
"1171";1171;4040864;"4BG";489.39
"1196";1196;4056748;"2DO";533.76
"1204";1204;4003322;"2DO";16.66
"1205";1205;4003322;"1RC";602
"1211";1211;4048589;"2DO";73.56
"1213";1213;1012794;"2DO";97.8
"1223";1223;4086352;"2DO";-18.66
"1238";1238;4044070;"4BG";407.8
"1244";1244;3045425;"1RC";1204
"1267";1267;1010874;"2DO";-189.68
"1276";1276;4041656;"2DO";0
"1277";1277;4041656;"1RC";1204
"1291";1291;4012016;"4BG";603.2
"1292";1292;4058591;"4BG";434.46
"1310";1310;4020203;"2DO";0
"1319";1319;4349;"2DO";795.81
"1350";1350;4054947;"2DO";2612.36
"1364";1364;1004836;"2DO";81.6
"1383";1383;4022248;"1RC";0
"1399";1399;4074168;"2DO";2453.95
"1400";1400;4074168;"1RC";19042.19
"1401";1401;4074168;"1RC";1204
"1424";1424;4039908;"4BG";430.34
"1429";1429;4050709;"1RC";1204
"1447";1447;4022939;"2DO";99.28
"1472";1472;4060162;"2DO";598.04
"1477";1477;4036392;"4BG";316.31
"1486";1486;1006475;"4BG";129.1
"1506";1506;4043421;"4BG";574.44
"1526";1526;4016831;"2DO";-441.15
"1535";1535;4016905;"2DO";1601.96
"1547";1547;4074320;"2DO";1385.65
"1555";1555;4085392;"2DO";1875.49
"1580";1580;4048233;"2DO";0
"1581";1581;4048233;"1RC";0
"1591";1591;4002566;"2DO";4158.45
"1611";1611;4015381;"2DO";1063.68
"1612";1612;4015381;"2DO";1786.44
"1650";1650;4039840;"2DO";3444.6
"1653";1653;4039840;"1RC";35193.25
"1654";1654;4039840;"1RC";1204
"1669";1669;4023226;"4BG";563.78
"1677";1677;4086286;"1RC";959.9
"1706";1706;1007419;"2DO";-15.24
"1707";1707;4007836;"2DO";339.07
"1709";1709;4079442;"5CO";556.14
"1710";1710;4079442;"2DO";0
"1711";1711;4079442;"1RC";0
"1714";1714;4007836;"2DO";808.81
"1718";1718;4054795;"2DO";1503.34
"1719";1719;4054795;"1RC";1204
"1724";1724;4054976;"2DO";2325.11
"1725";1725;4054976;"1RC";556.14
"1812";1812;4077919;"4BG";646.31
"1815";1815;4055738;"2DO";-41.48
"1844";1844;4025105;"4BG";374.76
"1858";1858;4058719;"2DO";786.09
"1926";1926;4053002;"4BG";474.58
"1940";1940;4011497;"4BG";318.66
"1961";1961;1009513;"2DO";1371.23
"1972";1972;1009513;"1RC";1128.12
"1989";1989;4061071;"4BG";235.83
"2003";2003;4056881;"2DO";72
"2006";2006;1012326;"1RC";1128
"2021";2021;4043515;"4BG";778.73
"2040";2040;4083676;"2DO";465.36
"2041";2041;4083676;"1RC";1204
"2042";2042;4020080;"2DO";484.13
"2043";2043;4051202;"2DO";3733.68
"2065";2065;4074168;"2DO";14289.32
"2086";2086;4006650;"4BG";572.07
"2088";2088;4032404;"4BG";82.6
"2104";2104;4059084;"2DO";-61.3
"2116";2116;4025496;"4BG";627.92
"2123";2123;4034385;"2DO";-379.06
"2146";2146;4022907;"2DO";1744.52
"2154";2154;4086392;"2DO";2526.83
"2203";2203;4014249;"1RC";-472.49
"2232";2232;4007879;"2DO";2255.32
"2234";2234;4007879;"4BG";694.29
"2240";2240;1011866;"4BG";373.79
"2243";2243;4081835;"4BG";244.15
"2266";2266;4002817;"2DO";1588.64
"2275";2275;4025287;"4BG";770.8
"2276";2276;4044230;"4BG";377.45
"2287";2287;4060798;"5CO";556.14
"2288";2288;4060798;"2DO";273.84
"2289";2289;4018527;"2DO";5434.82
"2299";2299;4018119;"2DO";655.41
"2340";2340;4086669;"2DO";414.91
"2342";2342;4081207;"4BG";565.68
"2343";2343;4015838;"4BG";156.37
"2363";2363;4042638;"2DO";232.06
"2369";2369;4029018;"4BG";675.66
"2377";2377;4072339;"4BG";490.83
"2380";2380;4032828;"4BG";750.48
"2400";2400;4033173;"2DO";1357.07
"2413";2413;4056926;"2DO";97.55
"2417";2417;4029746;"4BG";58.64
"2445";2445;4062808;"2DO";1330.07
"2450";2450;4004215;"2DO";37.32
"2451";2451;4049811;"4BG";469.72
"2459";2459;4049447;"2DO";0
"2461";2461;4049447;"1RC";0
"2508";2508;4038112;"2DO";438.9
"2509";2509;4038112;"3VI";87.91
"2510";2510;4018655;"1RC";1204
"2514";2514;1012499;"1RC";0
"2530";2530;4073233;"2DO";-200.67
"2541";2541;4054501;"5CO";1000
"2542";2542;4054501;"2DO";81.01
"2547";2547;4072171;"1RC";-382.85
"2550";2550;4047731;"2DO";1172.51
"2551";2551;4047731;"1RC";1204
